序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/24,"營利事業 捐贈收入",駿輝車業有限公司,53901021,60000,,是,高雄市鳳山區
2,103/11/24,"營利事業 捐贈收入",連順皮革股份有限公司,23964511,100000,,是,高雄市大寮區
3,103/11/20,"營利事業 捐贈收入",連順皮革股份有限公司,23964511,100000,,是,高雄市鳥松區
4,103/11/18,"營利事業 捐贈收入",連順皮革股份有限公司,23964511,100000,,是,高雄市鳥松區
5,103/11/17,"營利事業 捐贈收入",名賓企業有限公司,81131559,4000,,是,高雄市三民區
6,103/11/17,"營利事業 捐贈收入",連順皮革股份有限公司,23964511,100000,,是,高雄市鳥松區
7,103/11/12,"營利事業 捐贈收入",順升昌企業股份有限公司,84431670,30000,,是,高雄市大杜區
8,103/11/12,"營利事業 捐贈收入",名賓企業有限公司,81131559,50000,,是,高雄市三民區
9,103/11/12,"營利事業 捐贈收入",連順皮革股份有限公司,23964511,100000,,是,高雄市鳥松區
10,103/11/10,"營利事業 捐贈收入",宜欣工程行,10268250,20000,,是,高雄市三民區
11,103/11/10,"營利事業 捐贈收入",高智捷汽車股份有限公司,29014572,30000,,是,高雄市前鎮區
12,103/10/28,"營利事業 捐贈收入",全美飲食店,08505622,20000,,是,高雄市鳳山區
13,103/10/28,"營利事業 捐贈收入",大翔人力資源管理顧問有限公司,89259059,20000,,是,高雄市鼓山區
14,103/10/28,"營利事業 捐贈收入",丙偉有限公司,96868710,60000,,是,高雄市仁武區
15,103/10/28,"營利事業 捐贈收入",德懋通運有限公司,89541599,20000,,是,高雄市路竹區
16,103/10/28,"營利事業 捐贈收入",允全建設興業有限公司,16414343,50000,,是,高雄市鳳山區
17,103/10/23,"營利事業 捐贈收入",冠厚實業有限公司,29023241,5000,,是,高雄市楠梓區
18,103/10/23,"營利事業 捐贈收入",冠宙實業社,17649678,5000,,是,高雄市楠梓區
19,103/10/15,"營利事業 捐贈收入",明泰企業有限公司,22830331,10000,,是,高雄市鳳山區
20,103/10/15,"營利事業 捐贈收入",全日工程行,13325229,30000,,是,高雄市鳳山區
21,103/10/15,"營利事業 捐贈收入",允全建設興業有限公司,16414343,50000,,是,高雄市鳳山區
